distinct_words,count,rows_where_prediction_is_not_none
None,43037,6963
citrus,406,
lavender,102,
fresh clean,34,
woody,319,
unscented,422,
chypre,22,
"amber, lavender, spicy",117,
"fruity, floral",509,
"woody, aquatic",11,
"lime, lemon",11,
floral,814,
"chypre, floral",49,
"woody, oriental",417,
pine,43,
clean fresh,51,
flowery,391,
spice,12,
orange blossom,8,
"oriental, fougere",20,
"fruity, woodsy, floral",1,
"woody, spicy",81,
lemon,239,
"woody, floral",70,
strawberry,6,
aquatic,80,
woodsy,43,
fruity,225,
floral green,31,
light floral,17,
oriental,259,
fougere,61,
"oriental, floral",281,
cucumber melon,15,
pomegranate,14,
"gourmand, fruity, floral",22,
"woody, fruity",5,
spicy,112,
berry,13,
jasmine,14,
"aquatic, floral",22,
"fruity, florally",11,
"woodsy, spicy",9,
vanilla,76,
"peach, vanilla",1,
cherry,52,
"woody, musk, floral",71,
"chypre, fruity",22,
"woody, mossy",145,
"citrus, fruity",11,
"musk, floral",1,
"oriental, woodsy",9,
musk,16,
"woodsy, warm spicy",2,
"citrus, floral",22,
citrusy,17,
"citrusy, floral",9,
"citrus, fruity, floral",3,
assorted,11,
mint,34,
cinnamon,14,
cucumber,5,
"woody, fruity, floral",3,
"fruity, tropical",1,
peach,10,
"citrus, peach",3,
luscious apple,1,
"oriental, spicy",78,
eucalyptus,5,
new car,3,
rosemary,2,
raspberry,7,
leather,19,
"woody, leather",1,
ginger,4,
fresh linen,18,
"oriental, fruity",6,
coconut,12,
vanilla bean,4,
grapefruit,10,
orange,49,
"herbal, lavender",1,
lemony,2,
"citrus, woody",22,
rain,15,
"woodsy, floral",8,
"citrus, gourmand",8,
mango,33,
"spicy, floral",10,
"lavender, vanilla",8,
sandalwood,7,
rose,15,
lime,11,
"musky, spicy",1,
"spicy cinnamon, cranberry",1,
honeysuckle,15,
"aquatic, spicy",3,
linen,22,
warm spicy,8,
almond,20,
"spicy, fruity, floral",1,
"earthy, woody",1,
"musky, fruity, floral",5,
spring flower,3,
"florally, woodsy",1,
flowers,2,
morning pine,1,
amber,5,
lemongrass,11,
apple,25,
"citrusy, woodsy",1,
herbal,26,
aloe,6,
"woodsy, musk, floral",2,
"musky, gourmand",3,
pineapple,8,
sage,1,
"orchid, vanilla",1,
